TIMSTAMP,DATASET,SIZE,GRAPH,DIM,METHOD,ALGORITHM_1,ALGORITHM_2,RUN_TIME,PARAMS
04/25/2022 13:50:33,dblp,16-20,0,32,target,TransE,,0.453177833,Epochs=200
04/25/2022 13:50:33,dblp,16-20,0,32,target,DistMult,,0.5004039020000001,Epochs=200
04/25/2022 13:50:33,amazon,21-25,0,32,target,DistMult,,0.419729301,Epochs=200
04/25/2022 13:50:33,dblp,16-20,0,32,target,SimplE,,0.6330301779999999,Epochs=200
04/25/2022 13:50:34,dblp,16-20,0,32,target,TransD,,0.8135116870000001,Epochs=200
04/25/2022 13:50:34,amazon,21-25,0,32,target,SimplE,,0.529987016,Epochs=200
04/25/2022 13:50:34,dblp,16-20,0,32,target,TransH,,0.7122519239999998,Epochs=200
04/25/2022 13:50:34,amazon,21-25,0,32,target,TransE,,0.383244968,Epochs=200
04/25/2022 13:50:34,dblp,16-20,0,32,target,RESCAL,,0.7100239789999999,Epochs=200
04/25/2022 13:50:35,amazon,21-25,0,32,target,TransH,,0.594278498,Epochs=200
04/25/2022 13:50:35,amazon,21-25,0,32,target,TransD,,0.6709266279999999,Epochs=200
04/25/2022 13:50:35,amazon,21-25,0,32,target,RESCAL,,0.572969194,Epochs=200
04/25/2022 13:54:53,amazon,21-25,0,32,target,TransE,,0.47144263900000005,Epochs=200
04/25/2022 13:55:46,amazon,21-25,0,32,target,TransE,,0.38994890400000004,Epochs=200
04/25/2022 13:55:46,amazon,21-25,0,32,target,TransH,,0.607314668,Epochs=200
04/25/2022 13:55:46,amazon,21-25,0,32,target,DistMult,,0.42716716700000007,Epochs=200
04/25/2022 13:55:46,amazon,21-25,0,32,target,SimplE,,0.5321826310000001,Epochs=200
04/25/2022 13:55:47,amazon,21-25,0,32,target,TransD,,0.672293608,Epochs=200
04/25/2022 13:55:47,amazon,21-25,0,32,target,RESCAL,,0.570537074,Epochs=200
04/25/2022 13:55:48,dblp,16-20,0,32,target,TransE,,0.451985797,Epochs=200
04/25/2022 13:55:48,dblp,16-20,0,32,target,TransD,,0.813121494,Epochs=200
04/25/2022 13:55:48,dblp,16-20,0,32,target,DistMult,,0.4952995210000001,Epochs=200
04/25/2022 13:55:48,dblp,16-20,0,32,target,RESCAL,,0.7111472410000002,Epochs=200
04/25/2022 13:55:48,dblp,16-20,0,32,target,TransH,,0.7072877889999999,Epochs=200
04/25/2022 13:55:48,dblp,16-20,0,32,target,SimplE,,0.6321652169999998,Epochs=200
04/25/2022 13:55:53,youtube,16-20,0,32,target,TransE,,0.36037146800000003,Epochs=200
04/25/2022 13:55:54,youtube,16-20,0,32,target,DistMult,,0.3819419720000001,Epochs=200
04/25/2022 13:55:54,youtube,16-20,0,32,target,TransD,,0.5825360369999999,Epochs=200
04/25/2022 13:55:55,youtube,16-20,0,32,target,TransH,,0.540085119,Epochs=200
04/25/2022 13:55:55,youtube,16-20,0,32,target,RESCAL,,0.4923074640000001,Epochs=200
04/25/2022 13:55:55,youtube,16-20,0,32,target,SimplE,,0.48925517999999996,Epochs=200
04/25/2022 13:59:19,amazon,21-25,0,32,target,TransE,,0.40736868100000007,Epochs=200
04/25/2022 13:59:26,amazon,21-25,0,32,target,TransH,,0.8513260979999999,Epochs=200
04/25/2022 13:59:33,amazon,21-25,0,32,target,TransD,,0.9524287060000001,Epochs=200
04/25/2022 13:59:39,amazon,21-25,0,32,target,SimplE,,0.769010059,Epochs=200
04/25/2022 13:59:46,amazon,21-25,0,32,target,RESCAL,,0.9280346240000001,Epochs=200
04/25/2022 13:59:53,amazon,21-25,0,32,target,DistMult,,0.514398585,Epochs=200
